mn_tbl,spc_tbl,spc_ltx_tbl,cat_tbl,mt_tbl,freq_tbl,freq_rs_tbl,EU_K_tbl,aij_tbl,qn_tbl,peak_tbl,peak_val,intint_tbl,intint_val,nupper_deg_tbl,in_aces_tbl
ethyl cyanide,C2H5CN,$\mathrm{C_2H_5CN}$,CDMS,55502,91.5491121,91.53689710130247,25.320961859857743,-4.204965092837671,"$10_{1,9} – 9_{1,8}$",$0.1619579380105956 \pm 0.06858645245297126$,0.1619579380105956,$1.2178966134785394 \pm 0.3798461409978455$,1.2178966134785394,$15145007694.506208 1 / cm2 \pm 4723531262.403194 1 / cm2$,False
methyl cyanide,CH3CN,$\mathrm{CH_3CN}$,CDMS,41505,91.9587263,91.94614990697312,127.54255307990545,-4.64235561315269,"$5_{4,0} – 4_{4,0}$",$0.1078904661564245 \pm 0.06858645245297126$,0.1078904661564245,$0.33419801189023585 \pm 0.3087615968532078$,0.33419801189023585,$10957909090.85137 1 / cm2 \pm 10123882814.044956 1 / cm2$,False
methyl cyanide,CH3CN,$\mathrm{CH_3CN}$,CDMS,41505,91.97113069999999,91.9585526105315,77.54550802626379,-4.392279226783309,"$5_{3,0} – 4_{-3,0}$",$0.2008224297514823 \pm 0.06858645245297126$,0.2008224297514823,$1.4807501611786758 \pm 0.3781031795348887$,1.4807501611786758,$27305264652.310665 1 / cm2 \pm 6972281789.158957 1 / cm2$,False
methyl cyanide,CH3CN,$\mathrm{CH_3CN}$,CDMS,41505,91.97113069999999,91.9585526105315,77.54550802626379,-4.392279226783309,"$5_{-3,0} – 4_{3,0}$",$0.2008224297514823 \pm 0.06858645245297126$,0.2008224297514823,$1.4807501611786758 \pm 0.3781031795348887$,1.4807501611786758,$27305264652.310665 1 / cm2 \pm 6972281789.158957 1 / cm2$,False
methyl cyanide,CH3CN,$\mathrm{CH_3CN}$,CDMS,41505,91.97999460000001,91.96741529829322,41.82527601089266,-4.274150602955726,"$5_{2,0} – 4_{2,0}$",$0.228920424977966 \pm 0.06858645245297126$,0.228920424977966,$0.42877505976648755 \pm 0.37806674260196177$,0.42877505976648755,$6024891106.485697 1 / cm2 \pm 5312368113.0173025 1 / cm2$,False
methyl cyanide,CH3CN,$\mathrm{CH_3CN}$,CDMS,41505,91.98531440000001,91.97273437075057,20.389914011533318,-4.2160580894530595,"$5_{1,0} – 4_{1,0}$",$0.8070798879966605 \pm 0.06858645245297126$,0.8070798879966605,$4.240777271336785 \pm 0.37804487781547247$,4.240777271336785,$52134218831.56919 1 / cm2 \pm 4647514624.594503 1 / cm2$,False
methyl cyanide,CH3CN,$\mathrm{CH_3CN}$,CDMS,41505,91.9870879,91.97450762820444,13.244169886298186,-4.198294820109032,"$5_{0,0} – 4_{0,0}$",$0.4926173039456862 \pm 0.06858645245297126$,0.4926173039456862,$2.4193065633610313 \pm 0.3086663990056527$,2.4193065633610313,$28551030481.764664 1 / cm2 \pm 3642673442.1221037 1 / cm2$,False
carbon monosulfide,13CS,$\mathrm{^{13}CS}$,CDMS,45501,92.494308,92.48165836013482,6.658627758873337,-4.850035692178992,$2_0 – 1_0$,$0.1595648658429955 \pm 0.06858645245297126$,0.1595648658429955,$0.8082244111070389 \pm 0.3759645073845989$,0.8082244111070389,$95148659668.52206 1 / cm2 \pm 44260626713.2943 1 / cm2$,False
ethyl cyanide,C2H5CN,$\mathrm{C_2H_5CN}$,CDMS,55502,93.94930599999999,93.93677075389984,19.896286510209706,-5.359096962959136,"$9_{1,9} – 8_{0,8}$",$-0.059672541524391415 \pm 0.04643093131650009$,-0.059672541524391415,$-0.450300628538489 \pm 0.25057509960509894$,-0.450300628538489,$-92947576809.32423 1 / cm2 \pm 51721776166.82647 1 / cm2$,False
ethyl cyanide,C2H5CN,$\mathrm{C_2H_5CN}$,CDMS,55502,94.17868,94.16611414952753,33.1634654868993,-5.340225165851007,"$12_{0,12} – 11_{1,11}$",$0.05356101759202475 \pm 0.04643093131650009$,0.05356101759202475,$0.09459783034602341 \pm 0.249964819096289$,0.09459783034602341,$14278301073.48684 1 / cm2 \pm 37728909128.05717 1 / cm2$,False
